순번/순위,구분,상품명,ISBN,ISBN13,부가기호,출판사/제작사,저자/아티스트,정가,판매가,할인액,할인율,마일리지,출간일,세일즈포인트
"1","사회과학","공부머리 독서법","K722532337","9791196316808","03370","책구루","최승필 지음","16,500","14,850","1,650","10%","820점","20180503","58439"
"2","사회과학","선량한 차별주의자","8936477196","9788936477196","03300","창비","김지혜 지음","15,000","13,500","1,500","10%","750점","20190717","61006"
"3","사회과학","대변동 : 위기, 선택, 변화","8934995793","9788934995791","03300","김영사","재레드 다이아몬드 지음, 강주헌 옮김","24,800","22,320","2,480","10%","1,240점","20190610","7984"
"4","사회과학","인간의 흑역사","K262636374","9791155812396","03900","윌북","톰 필립스 지음, 홍한결 옮김","14,800","13,320","1,480","10%","740점","20191010","11657"
"5","사회과학","예루살렘의 아이히만","8935656615","9788935656615","94160","한길사","한나 아렌트 지음, 김선욱 옮김","22,000","19,800","2,200","10%","660점","20061010","26845"
"6","사회과학","다시는 그전으로 돌아가지 않을 것이다","K482636980","9791160803020","03330","휴머니스트","권김현영 지음","17,000","15,300","1,700","10%","850점","20191021","2866"
"7","사회과학","백범일지","8971992255","9788971992258","03910","돌베개","김구 지음, 도진순 주해","12,000","10,800","1,200","10%","600점","20020801","19068"
"8","사회과학","장애학의 도전","K812636098","9791190422000","03300","오월의봄","김도현 지음","22,000","19,800","2,200","10%","1,100점","20191104","5597"
"9","사회과학","여자는 체력","8998614723","9788998614720","03510","메멘토","박은지(데조로) 지음","15,000","13,500","1,500","10%","750점","20191018","1377"
"10","사회과학","2020년 대통령 문재인 탁상달력 (스프링)","K672636680","8809529010871","1","더휴먼","더휴먼 편집부 지음","6,500","5,850","650","10%","300점","20191115","1220"
"11","사회과학","초판본 군주론 (양장)","K992636880","9791164451319","03340","더스토리","니콜로 마키아벨리 지음, 이시연 옮김","9,800","8,820","980","10%","490점","20191031","10718"
"12","사회과학","판사유감","895465813X","9788954658133","03300","문학동네","문유석 지음","15,000","13,500","1,500","10%","750점","20191014","4237"
"13","사회과학","유시민과 도올 통일, 청춘을 말하다","8982641424","9788982641428","03340","통나무","김용옥 지음","15,000","13,500","1,500","10%","750점","20191107","1326"
"14","사회과학","호모 데우스","8934977841","9788934977841","03900","김영사","유발 하라리 지음, 김명주 옮김","22,000","19,800","2,200","10%","1,100점","20170515","39930"
"15","사회과학","개인주의자 선언","K042837764","9788954637756","03300","문학동네","문유석 지음","13,500","12,150","1,350","10%","670점","20150923","36577"
"16","사회과학","모든 용서는 아름다운가","8958077360","9788958077367","03330","뜨인돌","시몬 비젠탈 지음, 박중서 옮김","19,800","17,820","1,980","10%","990점","20191030","3038"
"17","사회과학","앞서가는 아이들은 어떻게 배우는가","K852636283","9791187147473","03370","아날로그(글담)","알렉스 비어드 지음, 신동숙 옮김","17,800","16,020","1,780","10%","890점","20191028","1394"
"18","사회과학","정의란 무엇인가","K262836826","9788937834790","03300","와이즈베리","마이클 샌델 지음, 김명철 옮김, 김선욱 감수","15,000","13,500","1,500","10%","750점","20141120","58733"
"19","사회과학","평균의 종말","8950963612","9788950963613","03370","21세기북스","토드 로즈 지음, 정미나 옮김, 이우일 감수","16,000","14,400","1,600","10%","800점","20180327","10371"
"20","사회과학","당신이 아름답지 않다는 거짓말","K652636485","9791160403107","03600","한겨레출판","조이한 지음","16,500","14,850","1,650","10%","820점","20191021","1381"
"21","사회과학","특권","8964373359","9788964373354","03300","후마니타스","셰이머스 라만 칸 지음, 강예은 옮김","20,000","18,000","2,000","10%","1,000점","20191111","995"
"22","사회과학","대한민국 살인사건 1","K772636791","9791186430910","04330","우물이있는집","김복준.김윤희 지음","18,000","16,200","1,800","10%","900점","20191111","874"
"23","사회과학","21세기를 위한 21가지 제언","8934982977","9788934982975","03900","김영사","유발 하라리 지음, 전병근 옮김","22,000","19,800","2,200","10%","1,100점","20180903","26407"
"24","사회과학","아이들의 계급투쟁","K982636997","9791160945171","03300","사계절","브래디 미카코 지음, 노수경 옮김","17,000","15,300","1,700","10%","850점","20191105","1648"
"25","사회과학","군주론","K702534886","9791189581411","03340","더클래식","니콜로 마키아벨리 지음, 이시연 옮김","8,800","7,920","880","10%","440점","20181030","3569"
"26","사회과학","군주론","8972915785","9788972915782","03340","까치","니콜로 마키아벨리 지음, 강정인.김경희 옮김","10,000","9,000","1,000","10%","500점","20150210","20029"
