순번/순위,구분,상품명,ISBN,ISBN13,부가기호,출판사/제작사,저자/아티스트,정가,판매가,할인액,할인율,마일리지,출간일,세일즈포인트
"1","사회과학","개인주의자 선언","K042837764","9788954637756","03300","문학동네","문유석 지음","13,500","12,150","1,350","10%","670점","20150923","36577"
"2","사회과학","체르노빌의 목소리","8996573108","9788996573104","03330","새잎","스베틀라나 알렉시예비치 지음, 김은혜 옮김","16,000","14,400","1,600","10%","800점","20110607","5257"
"3","사회과학","송곳 1~6 세트 - 전6권","8936479687","9788936479688","07810","창비","최규석 지음","66,000","59,400","6,600","10%","3,300점","20171113","8241"
"4","사회과학","시선","K342433658","9791185585161","03300","생각의힘","정운영 지음","15,000","13,500","1,500","10%","750점","20150914","1160"
"5","사회과학","피로사회","8932022887","9788932022888","03100","문학과지성사","한병철 지음, 김태환 옮김","12,000","10,800","1,200","10%","600점","20120305","22496"
"6","사회과학","메트로폴리스 서울의 탄생","8983717254","9788983717252","03980","반비","임동근.김종배 지음","18,000","16,200","1,800","10%","900점","20150727","2388"
"7","사회과학","나의 한국현대사","8971996099","9788971996096","03900","돌베개","유시민 지음","18,000","16,200","1,800","10%","900점","20140707","29613"
"8","사회과학","사회학의 쓸모","8974837439","9788974837433","03330","서해문집","지그문트 바우만.미켈 H. 야콥슨.키스 테스터 지음, 노명우 옮김","15,000","13,500","1,500","10%","750점","20151015","1812"
"9","사회과학","피케티의 新자본론","8967352492","9788967352493","03300","글항아리","토마 피케티 지음, 박상은.노만수 옮김","22,000","19,800","2,200","10%","1,100점","20150921","553"
"10","사회과학","아수라장의 모더니티","8994207570","9788994207575","03300","워크룸프레스(Workroom)","박해천 지음","15,000","13,500","1,500","10%","750점","20150831","763"
"11","사회과학","인간은 어떻게 배우는가","8964358031","9788964358030","03300","사회평론","하워드 가드너 지음, 류숙희 옮김","20,000","18,000","2,000","10%","1,000점","20150903","479"
"12","사회과학","파리의 생활 좌파들","K582433948","9791185035260","03300","생각정원","목수정 지음","14,000","12,600","1,400","10%","700점","20150731","1199"
"13","사회과학","남자들은 자꾸 나를 가르치려 든다","8936472631","9788936472634","03300","창비","리베카 솔닛 지음, 김명남 옮김","14,000","12,600","1,400","10%","700점","20150515","9603"
"14","사회과학","가난은 어떻게 죄가 되는가","8932917264","9788932917269","03300","열린책들","매트 타이비 지음, 이순희 옮김","22,000","19,800","2,200","10%","1,100점","20150905","720"
"15","사회과학","노무현의 한반도 평화구상","K362434464","9791195625208","93340","통일(도서출판)","김만복 외 지음","16,000","14,400","1,600","10%","800점","20151001","158"
"16","사회과학","확률가족","K812433751","9791186000199","03330","마티","박재현.김형재 엮음, 박해천 기획","16,000","14,400","1,600","10%","800점","20150825","914"
"17","사회과학","베트남 전쟁","8984319279","9788984319271","03900","한겨레출판","박태균 지음","16,000","14,400","1,600","10%","800점","20150831","2759"
"18","사회과학","자유론","8970134832","9788970134833","04300","책세상","존 스튜어트 밀 지음, 서병훈 옮김","7,900","7,110","790","10%","390점","20050105","9223"
"19","사회과학","왜 세계의 절반은 굶주리는가?","8990809177","9788990809179","03300","갈라파고스","장 지글러 지음, 유영미 옮김, 우석훈 해제, 주경복 부록","9,800","8,820","980","10%","490점","20070312","40144"
"20","사회과학","중정이 기록한 장준하","8997780166","9788997780167","03990","오마이북","고상만 지음","16,000","14,400","1,600","10%","800점","20150921","551"
"21","사회과학","정의란 무엇인가","K262836826","9788937834790","03300","와이즈베리","마이클 샌델 지음, 김명철 옮김, 김선욱 감수","15,000","13,500","1,500","10%","750점","20141120","58733"
"22","사회과학","시골빵집에서 자본론을 굽다","8994418733","9788994418735","03300","더숲","와타나베 이타루 지음, 정문주 옮김","14,000","12,600","1,400","10%","700점","20140602","9991"
"23","사회과학","우리도 행복할 수 있을까","8997780131","9788997780136","03300","오마이북","오연호 지음","16,000","14,400","1,600","10%","800점","20140905","13437"
"24","사회과학","이기적 섹스","897297739X","9788972977391","03330","동녘","은하선 지음","15,000","13,500","1,500","10%","750점","20150826","1569"
"25","사회과학","일탈","8965641748","9788965641742","93330","현실문화","게일 루빈 지음, 임옥희 외 옮김","44,000","39,600","4,400","10%","2,200점","20150918","1743"
"26","사회과학","한국인만 모르는 다른 대한민국","8950951088","9788950951085","03810","21세기북스","임마누엘 페스트라이쉬(이만열) 지음","15,000","13,500","1,500","10%","750점","20130816","2728"
"27","사회과학","투명사회","8932026114","9788932026114","03100","문학과지성사","한병철 지음, 김태환 옮김","12,000","10,800","1,200","10%","600점","20140311","6680"
"28","사회과학","만화로 읽는 피케티의 21세기 자본","K862433344","9791157950751","04320","스타북스","야마가타 히로오 감수, 코야마 카리코 그림, 오상현 옮김","14,000","12,600","1,400","10%","700점","20150820","1055"
"29","사회과학","페미니즘의 도전","8991799809","9788991799806","03300","교양인","정희진 지음","14,000","12,600","1,400","10%","700점","20130212","8073"
"30","사회과학","왜 우리는 행복을 일에서 찾고, 일을 하며 병들어갈까","8970139419","9788970139418","03320","책세상","요아힘 바우어 지음, 전진만 옮김","15,000","13,500","1,500","10%","750점","20150925","466"
"31","사회과학","우리는 조금 불편해져야 한다","K972433436","9791185585154","03300","생각의힘","이상헌 지음","15,000","13,500","1,500","10%","150점","20150727","1011"
"32","사회과학","사람, 장소, 환대","8932027269","9788932027265","93330","문학과지성사","김현경 지음","16,000","14,400","1,600","10%","800점","20150331","24389"
"33","사회과학","괴물과 함께 살기","8994142444","9788994142449","03100","미지북스","정성훈 지음","15,000","13,500","1,500","10%","750점","20150920","502"
"34","사회과학","진보정치, 미안하다고 해야 할 때","8994502467","9788994502465","03300","생각비행","신석진 외 지음","16,000","14,400","1,600","10%","800점","20151005","191"
"35","사회과학","왜 지금 지리학인가","8964357779","9788964357774","03300","사회평론","하름 데 블레이 지음, 유나영 옮김","20,000","18,000","2,000","10%","1,000점","20150706","3577"
"36","사회과학","익숙한 절망 불편한 희망","8954636462","9788954636469","03840","문학동네","다니엘 튜더 지음, 송정화 옮김","14,800","13,320","1,480","10%","150점","20150608","2228"
"37","사회과학","민중을 기록하라","8939207394","9788939207394","03300","실천문학사","박태순.황석영 외 20인 지음","28,000","25,200","2,800","10%","1,400점","20151019","590"
"38","사회과학","나치의 병사들","8937432072","9788937432071","03300","민음사","죙케 나이첼.하랄트 벨처 지음, 김태희 옮김","32,000","28,800","3,200","10%","1,600점","20151008","924"
"39","사회과학","열린책들 편집 매뉴얼 2015","8932917124","9788932917122","03010","열린책들","열린책들 편집부 엮음","6,000","5,400","600","10%","300점","20151025","1112"
"40","사회과학","모멸감","893202555X","9788932025551","03300","문학과지성사","김찬호 지음, 유주환 작곡","13,500","12,150","1,350","10%","670점","20140319","6659"
"41","사회과학","청년이여, 정당으로 쳐들어가라!","8959063592","9788959063598","04300","인물과사상사","강준만 지음","12,000","10,800","1,200","10%","600점","20150915","272"
"42","사회과학","거침없이 정청래","8954431852","9788954431859","03340","자음과모음","정청래 지음","13,800","12,420","1,380","10%","690점","20150915","251"
"43","사회과학","숲에서 자본주의를 껴안다","8962621096","9788962621099","03300","동아시아","모타니 고스케 & NHK히로시마 취재팀 지음, 김영주 옮김","15,000","13,500","1,500","10%","750점","20150729","1070"
"44","사회과학","개성공단 사람들","8977460514","9788977460515","03340","내일을여는책","김진향 외 지음","15,000","13,500","1,500","10%","750점","20150605","1668"
"45","사회과학","월든","8956605416","9788956605418","03840","은행나무","헨리 데이비드 소로우 지음, 강승영 옮김","13,000","11,700","1,300","10%","650점","20110822","45679"
"46","사회과학","타인의 고통","8988105729","9788988105726","04800","이후","수잔 손택 지음, 이재원 옮김","16,500","14,850","1,650","10%","820점","20040107","19522"
"47","사회과학","빨래하는 페미니즘","8937488396","9788937488399","03330","민음사","스테퍼니 스탈 지음, 고빛샘 옮김, 정희진 서문","19,500","17,550","1,950","10%","970점","20141007","3336"
"48","사회과학","학급긍정훈육법","1185992006","9791185992006","13370","에듀니티","제인 넬슨 외 지음, 김성환 외 옮김, 김차명 그림","16,800","15,120","1,680","10%","840점","20140901","11667"
"49","사회과학","돈으로 살 수 없는 것들","8937833662","9788937833663","03330","와이즈베리","마이클 샌델 지음, 안기순 옮김, 김선욱 감수","16,000","14,400","1,600","10%","800점","20120424","29138"
"50","사회과학","심야인권식당","8998439190","9788998439194","03300","따비","류은숙 지음","15,000","13,500","1,500","10%","750점","20151015","517"
"51","사회과학","코끼리는 생각하지 마","8937834952","9788937834950","03340","와이즈베리","조지 레이코프 지음, 유나영 옮김, 나익주 감수","13,000","11,700","1,300","10%","650점","20150401","9157"
"52","사회과학","지방 소멸","8937837684","9788937837685","03300","와이즈베리","마스다 히로야 지음, 김정환 옮김","14,000","12,600","1,400","10%","700점","20150905","2144"
"53","사회과학","예루살렘의 아이히만","8935656615","9788935656615","94160","한길사","한나 아렌트 지음, 김선욱 옮김","22,000","19,800","2,200","10%","660점","20061010","26845"
"54","사회과학","질문이 있는 교실 : 초등 편","8969520899","9788969520890","04370","경향BP","하브루타수업연구회 지음","3,600","3,240","360","10%","180점","20150710","1872"
"55","사회과학","21세기 자본 (반양장, 한정 보급판)","8967351372","9788967351373","03300","글항아리","토마 피케티 지음, 장경덕 외 옮김, 이강국 감수","22,000","19,800","2,200","10%","200점","20150302","1386"
"56","사회과학","페미니즘의 개념들","8972977403","9788972977407","93330","동녘","(사)여성문화이론연구소 엮음","20,000","18,000","2,000","10%","1,000점","20150905","1025"
"57","사회과학","설득의 정치","893747011X","9788937470110","94100","민음사","마르쿠스 툴리우스 키케로 지음, 김남우 외 옮김","19,500","17,550","1,950","10%","970점","20150925","526"
"58","사회과학","여성 혐오가 어쨌다구?","8965641705","9788965641704","03330","현실문화","윤보라 외 지음","14,000","12,600","1,400","10%","700점","20150706","1290"
"59","사회과학","군주론","8972915785","9788972915782","03340","까치","니콜로 마키아벨리 지음, 강정인.김경희 옮김","10,000","9,000","1,000","10%","500점","20150210","20029"
"60","사회과학","심리정치","8932027226","9788932027227","03100","문학과지성사","한병철 지음, 김태환 옮김","11,000","9,900","1,100","10%","550점","20150302","3476"
"61","사회과학","우리는 차별에 찬성합니다","8957692231","9788957692233","03330","개마고원","오찬호 지음","14,000","12,600","1,400","10%","700점","20131206","6700"
"62","사회과학","오래된 미래","8927806611","9788927806615","03810","중앙books(중앙북스)","헬레나 노르베리-호지 지음, 양희승 옮김","14,000","12,600","1,400","10%","700점","20150701","11998"
"63","사회과학","뉴레프트리뷰 6","896445118X","9788964451182","93100","길(도서출판)","클로드 레비-스트로스 외 지음, 김영아 외 옮김","25,000","22,500","2,500","10%","1,250점","20150915","239"
"64","사회과학","싸울 기회","896735231X","9788967352318","03300","에쎄","엘리자베스 워런 지음, 박산호 옮김","22,000","19,800","2,200","10%","1,100점","20150820","747"
"65","사회과학","지상 최대의 경제 사기극, 세대전쟁","8950953250","9788950953256","03320","21세기북스","박종훈 지음","15,000","13,500","1,500","10%","750점","20131227","885"
"66","사회과학","세상물정의 사회학","8958287152","9788958287155","03300","사계절","노명우 지음","16,800","15,120","1,680","10%","840점","20131230","5034"
"67","사회과학","적당히 벌고 잘 살기","K222434460","9791195103942","03300","슬로비","김진선 지음","15,000","13,500","1,500","10%","750점","20151008","529"
"68","사회과학","함께 산다는 것","8932317410","9788932317410","03300","현암사","아브람 더 스반 지음, 한신갑.이상직 옮김","13,000","11,700","1,300","10%","650점","20150611","453"
"69","사회과학","어떻게 살 것인가","8965132282","9788965132288","03810","생각의길","유시민 지음","15,000","13,500","1,500","10%","750점","20130313","39547"
"70","사회과학","국가란 무엇인가","8971994274","9788971994276","03340","돌베개","유시민 지음","14,000","12,600","1,400","10%","700점","20110418","8926"
"71","사회과학","비정규 사회","8964372352","9788964372357","04300","후마니타스","김혜진 지음","14,000","12,600","1,400","10%","700점","20150918","393"
"72","사회과학","지속 가능한 발전의 시대","8950959127","9788950959128","03300","21세기북스","제프리 삭스 지음, 홍성완 옮김, 반기문 추천","42,000","37,800","4,200","10%","2,100점","20151016","509"
"73","사회과학","판사유감","8950955199","9788950955199","03300","21세기북스","문유석 지음","14,000","12,600","1,400","10%","700점","20140421","2612"
"74","사회과학","살찐 로마서 고쳐 읽기","K562434879","9791185298689","03230","이리","김용민 지음","13,000","11,700","1,300","10%","650점","20151016","181"
"75","사회과학","질문이 살아있는 수업","K242433039","9791185122038","93370","수업디자인연구소","김현섭 지음","16,000","14,400","1,600","10%","800점","20150725","2767"
"76","사회과학","자본론 공부","8971996161","9788971996164","03300","돌베개","김수행 지음","13,000","11,700","1,300","10%","650점","20140825","4834"
"77","사회과학","바른 마음","8901163675","9788901163673","03180","웅진지식하우스","조너선 하이트 지음, 왕수민 옮김","29,000","26,100","2,900","10%","1,450점","20140421","8493"
"78","사회과학","대한민국에서 안전하게 살아남기","K122434162","9791185430782","03300","알마","강상구 지음","14,800","13,320","1,480","10%","740점","20150925","138"
"79","사회과학","지방 식민지 독립선언","8957693556","9788957693551","03300","개마고원","강준만 지음","15,000","13,500","1,500","10%","750점","20150907","537"
"80","사회과학","정희진처럼 읽기","8991799000","9788991799004","03800","교양인","정희진 지음","15,000","13,500","1,500","10%","750점","20141008","5857"
