순번/순위,구분,상품명,ISBN,ISBN13,부가기호,출판사/제작사,저자/아티스트,정가,판매가,할인액,할인율,마일리지,출간일,세일즈포인트
"1","사회과학","우리가 우리를 우리라고 부를 때 : N번방 추적기와 우리의 이야기","K862633809","9791190582353","03300","이봄","추적단 불꽃 지음","17,000","15,300","1,700","10%","850점","20200923","21013"
"2","사회과학","나는 풍요로웠고, 지구는 달라졌다","8934990309","9788934990307","03450","김영사","호프 자런 지음, 김은령 옮김","15,500","13,950","1,550","10%","770점","20200907","26753"
"3","사회과학","타인에 대한 연민","8925589818","9788925589817","03100","알에이치코리아(RHK)","마사 C. 누스바움 지음, 임현경 옮김","16,800","15,120","1,680","10%","840점","20200915","12874"
"4","사회과학","지리의 힘","8993178690","9788993178692","03300","사이","팀 마샬 지음, 김미선 옮김","17,000","15,300","1,700","10%","850점","20160810","58274"
"5","사회과학","한번도 경험해보지 못한 나라","K472632709","9791190413152","03300","천년의상상","강양구 외 지음","17,800","16,020","1,780","10%","890점","20200825","14367"
"6","사회과학","선량한 차별주의자","8936477196","9788936477196","03300","창비","김지혜 지음","15,000","13,500","1,500","10%","750점","20190717","61006"
"7","사회과학","그냥, 사람","K292633501","9791186372791","03810","봄날의책","홍은전 지음","13,000","11,700","1,300","10%","650점","20200925","16579"
"8","사회과학","대재앙 시대 생존 전략 : 황장수 서민 포퓰리즘 15조","8970873341","9788970873343","03340","미래사","황장수 지음","16,000","14,400","1,600","10%","800점","20201017","2754"
"9","사회과학","공부머리 독서법","K722532337","9791196316808","03370","책구루","최승필 지음","16,500","14,850","1,650","10%","820점","20180503","58439"
"10","사회과학","두 번째 지구는 없다","8925556251","9788925556253","03300","알에이치코리아(RHK)","타일러 라쉬 지음, 이영란 감수","14,000","12,600","1,400","10%","700점","20200715","31053"
"11","사회과학","정의란 무엇인가","K262836826","9788937834790","03300","와이즈베리","마이클 샌델 지음, 김명철 옮김, 김선욱 감수","15,000","13,500","1,500","10%","750점","20141120","58733"
"12","사회과학","6도의 멸종","8984074497","9788984074491","03450","세종(세종서적)","마크 라이너스 지음, 이한중 옮김","16,000","14,400","1,600","10%","800점","20140925","12011"
"13","사회과학","나라말이 사라진 날","K022633108","9791197126727","03910","생각정원","정재환 지음","15,000","13,500","1,500","10%","750점","20200928","2595"
"14","사회과학","문학책 만드는 법","K762633208","9791189683719","04800","유유","강윤정 지음","10,000","9,000","1,000","10%","500점","20200924","2980"
"15","사회과학","하브루타 질문 수업","8969521070","9788969521071","04370","경향BP","DR하브루타교육연구회 외 지음","13,500","12,150","1,350","10%","670점","20160415","4566"
"16","사회과학","나의 임신중지 이야기","K662633106","9791196874988","03300","롤러코스터","오드 메르미오 지음, 이민경 옮김","17,000","15,300","1,700","10%","850점","20201028","1897"
"17","사회과학","긴즈버그의 말","8960906042","9788960906044","03300","마음산책","루스 베이더 긴즈버그.헬레나 헌트 지음, 오현아 옮김","15,500","13,950","1,550","10%","770점","20200105","3597"
"18","사회과학","중독의 시대","K362633719","9791135488870","03330","커넥팅(Connecting)","데이비드 T. 코트라이트 지음, 이시은 옮김","19,800","17,820","1,980","10%","990점","20201014","2252"
"19","사회과학","그건 쓰레기가 아니라고요","K692633809","9791187135159","03330","슬로비","홍수열 지음","16,000","14,400","1,600","10%","800점","20200928","7987"
"20","사회과학","우리의 불행은 당연하지 않습니다","8965749891","9788965749899","03330","해냄","김누리 지음","16,500","14,850","1,650","10%","820점","20200306","33407"
"21","사회과학","왕진 가방 속의 페미니즘","K212633590","9791186757642","03810","심플라이프","추혜인 지음","16,000","14,400","1,600","10%","800점","20200925","4772"
"22","사회과학","권력은 사람의 뇌를 바꾼다","8959065854","9788959065851","03300","인물과사상사","강준만 지음","17,000","15,300","1,700","10%","850점","20201026","4284"
"23","사회과학","왜 세계의 절반은 굶주리는가?","K042434338","9791187038030","03300","갈라파고스","장 지글러 지음, 유영미 옮김, 우석훈 해제, 주경복 부록","10,800","9,720","1,080","10%","540점","20160321","41345"
"24","사회과학","인류세: 인간의 시대","K772632929","9791164050727","03400","해나무","최평순.EBS 다큐프라임 〈인류세〉 제작팀 지음","16,500","14,850","1,650","10%","490점","20200903","6383"
"25","사회과학","이네의 교실","K802633001","9791190927710","03370","넥서스BOOKS","장인혜 지음","12,000","10,800","1,200","10%","600점","20201005","3276"
"26","사회과학","2050 거주불능 지구","K052638443","9791155401651","03300","추수밭(청림출판)","데이비드 월러스 웰즈 지음, 김재경 옮김","19,800","17,820","1,980","10%","990점","20200422","14253"
"27","사회과학","타인의 고통","8988105729","9788988105726","04800","이후","수잔 손택 지음, 이재원 옮김","16,500","14,850","1,650","10%","820점","20040107","19522"
"28","사회과학","레이건 일레븐","K082632476","9791196612481","03340","열아홉","폴 켄고르 지음, 조평세 옮김","16,000","14,400","1,600","10%","800점","20200822","2302"
"29","사회과학","페미니즘의 도전 (15주년 기념판, 양장)","K452633208","9791187064565","","교양인","정희진 지음","16,000","14,400","1,600","10%","800점","20200930","17794"
"30","사회과학","임계장 이야기","8964373499","9788964373491","04300","후마니타스","조정진 지음","15,000","13,500","1,500","10%","750점","20200330","6507"
"31","사회과학","사람에 대한 예의","K452639540","9791190030519","03300","어크로스","권석천 지음","15,000","13,500","1,500","10%","750점","20200605","8022"
"32","사회과학","임신중단에 대한 권리","K422633201","9791190422475","03300","오월의봄","박이대승 지음","11,000","9,900","1,100","10%","550점","20201012","1857"
"33","사회과학","인간의 흑역사","K262636374","9791155812396","03900","윌북","톰 필립스 지음, 홍한결 옮김","14,800","13,320","1,480","10%","740점","20191010","11657"
"34","사회과학","보이지 않는 여자들","8901242648","9788901242644","03330","웅진지식하우스","캐럴라인 크리아도 페레스 지음, 황가한 옮김","18,500","16,650","1,850","10%","920점","20200706","7901"
"35","사회과학","커밍 업 쇼트","K512633307","9791190292061","93300","리시올","제니퍼 M. 실바 지음, 문현아.박준규 옮김","18,000","16,200","1,800","10%","900점","20201010","4820"
"36","사회과학","호모 데우스","8934977841","9788934977841","03900","김영사","유발 하라리 지음, 김명주 옮김","22,000","19,800","2,200","10%","1,100점","20170515","39930"
"37","사회과학","언어의 뇌과학","K012631354","9791190994156","03400","현대지성","알베르트 코스타 지음, 김유경 옮김","15,000","13,500","1,500","10%","750점","20200814","4614"
"38","사회과학","타인의 해석","8934985747","9788934985747","03190","김영사","말콤 글래드웰 지음, 유강은 옮김, 김경일 감수","18,500","16,650","1,850","10%","920점","20200320","12119"
"39","사회과학","아무튼, 언니","K292631070","9791188343324","02810","제철소","원도 지음","9,900","8,910","990","10%","490점","20200720","5435"
"40","사회과학","영유아 몬테소리 육아대백과","K552636514","9791189719791","13590","키출판사","시모네 데이비스 지음, 조은경 옮김, 히요코 이마이 일러스트","16,000","14,400","1,600","10%","800점","20191217","10643"
"41","사회과학","교실이 없는 시대가 온다","K872639282","9791190030434","03370","어크로스","존 카우치.제이슨 타운 지음, 김영선 옮김","15,000","13,500","1,500","10%","750점","20200428","7707"
"42","사회과학","유튜브는 책을 집어삼킬 것인가","8998439794","9788998439798","03370","따비","김성우.엄기호 지음","16,000","14,400","1,600","10%","800점","20200420","10020"
"43","사회과학","예루살렘의 아이히만","8935656615","9788935656615","94160","한길사","한나 아렌트 지음, 김선욱 옮김","22,000","19,800","2,200","10%","660점","20061010","26845"
"44","사회과학","사람, 장소, 환대","8932027269","9788932027265","93330","문학과지성사","김현경 지음","16,000","14,400","1,600","10%","800점","20150331","24389"
"45","사회과학","온라인 수업, 교사 실재감이 답이다","K322632751","9791190337458","03370","우리학교","신을진 지음, 수업과성장연구소 기획","14,000","12,600","1,400","10%","700점","20200901","4732"
"46","사회과학","풀","8984289744","9788984289741","07300","보리","김금숙 지음","26,000","23,400","2,600","10%","1,300점","20170814","3033"
"47","사회과학","세상이 좋아지지 않았다고 말한 적 없다","K972633405","9791191119138","03300","위즈덤하우스","오찬호 지음","15,000","13,500","1,500","10%","750점","20201012","2359"
"48","사회과학","삶을 위한 수업","8997780379","9788997780372","03370","오마이북","마르쿠스 베른센 지음, 오연호 편역","15,000","13,500","1,500","10%","750점","20200520","12944"
"49","사회과학","군주론","8972915785","9788972915782","03340","까치","니콜로 마키아벨리 지음, 강정인.김경희 옮김","10,000","9,000","1,000","10%","500점","20150210","20029"
"50","사회과학","교사의 시선","K962633807","9791196968243","13370","교육과실천","김태현 지음","18,000","16,200","1,800","10%","900점","20201007","10489"
"51","사회과학","21세기를 위한 21가지 제언","8934982977","9788934982975","03900","김영사","유발 하라리 지음, 전병근 옮김","22,000","19,800","2,200","10%","1,100점","20180903","26407"
"52","사회과학","성 정치학","K072633578","9791165342296","03330","쌤앤파커스","케이트 밀렛 지음, 김유경 옮김","32,000","28,800","3,200","10%","1,600점","20200929","2037"
"53","사회과학","선량한 차별주의자 (10만부 기념 특별판)","8936478125","9788936478124","03300","창비","김지혜 지음","16,000","14,400","1,600","10%","800점","20200717","2753"
"54","사회과학","이수정 이다혜의 범죄 영화 프로파일","8937491303","9788937491306","03330","민음사","이수정 외 지음","18,000","16,200","1,800","10%","900점","20200331","8510"
"55","사회과학","경찰관속으로","K692636786","9791196295561","03810","이후진프레스","원도 지음","14,000","12,600","1,400","10%","700점","20190927","6268"
"56","사회과학","그 일이 일어난 방","K132633077","9791189970048","03340","시사저널","존 볼턴 지음, 박산호.김도유.황선영 옮김","25,000","22,500","2,500","10%","1,250점","20200928","1328"
"57","사회과학","한국 사회에서 정의란 무엇인가","8957336966","9788957336960","03300","아카넷","김도균 지음","18,000","16,200","1,800","10%","900점","20200916","2212"
"58","사회과학","전태일평전","8996187453","9788996187455","03990","아름다운전태일(전태일기념사업회)","조영래 지음","15,000","13,500","1,500","10%","750점","20200907","15622"
"59","사회과학","검찰개혁과 촛불시민","8997780409","9788997780402","03300","오마이북","조국백서추진위원회 지음","25,000","22,500","2,500","10%","1,250점","20200805","5324"
"60","사회과학","랩 걸","K852536383","9791159920967","03400","알마","호프 자렌 지음, 김희정 옮김","17,500","15,750","1,750","10%","870점","20170217","26244"
"61","사회과학","성매매, 상식의 블랙홀","K222632753","9791189623043","03300","봄알람","신박진영 지음","15,000","13,500","1,500","10%","750점","20200902","2503"
"62","사회과학","돈으로 살 수 없는 것들","8937833662","9788937833663","03330","와이즈베리","마이클 샌델 지음, 안기순 옮김, 김선욱 감수","16,000","14,400","1,600","10%","800점","20120424","29138"
"63","사회과학","좁은 회랑 : 국가, 사회 그리고 자유의 운명","K262633176","9791165791940","03300","시공사","대런 애쓰모글루 외 지음, 장경덕 옮김","36,000","32,400","3,600","10%","1,800점","20200915","2046"
"64","사회과학","김지은입니다","K812638583","9791189623036","03300","봄알람","김지은 지음","17,000","15,300","1,700","10%","850점","20200305","9885"
"65","사회과학","영화하는 여자들","K822632472","9791160946772","03300","사계절","주진숙.이순진 지음, (사)여성영화인모임 기획","19,800","17,820","1,980","10%","990점","20200821","2117"
"66","사회과학","시설사회","K882633593","9791196767457","03330","와온","나영정 외 지음, 장애여성공감 엮음","16,000","14,400","1,600","10%","800점","20200916","2504"
"67","사회과학","팬데믹 패닉","K342630702","9791164050680","03330","북하우스","슬라보예 지젝 지음, 강우성 옮김","15,000","13,500","1,500","10%","750점","20200626","4062"
"68","사회과학","국제개발협력 심화편","K822434153","9791159290022","03300","시공미디어","KOICA ODA 교육원 엮음","19,000","17,100","1,900","10%","950점","20160429","3431"
"69","사회과학","평균의 종말","8950963612","9788950963613","03370","21세기북스","토드 로즈 지음, 정미나 옮김, 이우일 감수","16,000","14,400","1,600","10%","800점","20180327","10371"
"70","사회과학","심리전이란 무엇인가?","K342633112","9791190847148","03340","투나미스","폴 M. A. 라인바거 지음, 유지훈 옮김","17,500","15,750","1,750","10%","870점","20201031","674"
"71","사회과학","어떻게 살 것인가","8965132282","9788965132288","03810","생각의길","유시민 지음","15,000","13,500","1,500","10%","750점","20130313","39547"
"72","사회과학","성서와 동성애","K002633203","9791190422482","03300","오월의봄","김진호 지음","13,000","11,700","1,300","10%","650점","20201012","867"
"73","사회과학","지금 여기, 무탈한가요?","K032632496","9791189799304","03300","북트리거","오찬호 지음","15,000","13,500","1,500","10%","750점","20200825","4153"
"74","사회과학","월든","8956605416","9788956605418","03840","은행나무","헨리 데이비드 소로우 지음, 강승영 옮김","13,000","11,700","1,300","10%","650점","20110822","45679"
"75","사회과학","북한 : 전체주의 국가의 내부관점","K642633006","9791160404319","03300","한겨레출판","뤼디거 프랑크 지음, 안인희 옮김","20,000","18,000","2,000","10%","1,000점","20200928","1171"
"76","사회과학","비거닝","897297966X","9788972979661","02810","동녘","이라영 외 지음","14,000","12,600","1,400","10%","700점","20200928","1634"
"77","사회과학","영유아 부모상담 전 이렇게 했어요","8999410137","9788999410130","93370","양서원(박철용)","박근주 외 지음","15,000","15,000","0","0%","150점","20200615","6381"
"78","사회과학","전쟁사 문명사 세계사 2","8972995223","9788972995227","03900","미래문화사","허진모 지음","28,000","25,200","2,800","10%","1,400점","20200921","2290"
"79","사회과학","민족","K652632592","9791190277686","03300","교유서가","아자 가트 외 지음, 유나영 옮김","32,000","28,800","3,200","10%","1,600점","20200821","1796"
"80","사회과학","우리는 바이러스와 살아간다","K702632693","9791185585666","03300","생각의힘","이재갑.강양구 지음","15,000","13,500","1,500","10%","750점","20200828","1563"
"81","사회과학","초판본 군주론 (양장)","K992636880","9791164451319","03340","더스토리","니콜로 마키아벨리 지음, 이시연 옮김","9,800","8,820","980","10%","490점","20191031","10718"
"82","사회과학","법정에 선 수학","K942632701","9791187147589","03410","아날로그(글담)","레일라 슈넵스.코랄리 콜메즈 지음, 김일선 옮김","16,000","14,400","1,600","10%","800점","20200905","5802"
"83","사회과학","자본과 이데올로기","8954671063","9788954671064","03300","문학동네","토마 피케티 지음, 안준범 옮김","38,000","34,200","3,800","10%","1,900점","20200529","4832"
"84","사회과학","국제개발협력 입문편","K702434944","9791159290015","03300","시공미디어","KOICA ODA 교육원 엮음","15,000","13,500","1,500","10%","750점","20160331","5232"
"85","사회과학","인간 섬","K122633502","9791187038627","03300","갈라파고스","장 지글러 지음, 양영란 옮김","13,000","11,700","1,300","10%","650점","20201015","2136"
"86","사회과학","마니에르 드 부아르 1호 Maniere de voir 2020","K092633108","9772734046005","","르몽드디플로마티크(잡지)","르몽드 디플로마티크(월간지) 편집부 지음","18,000","17,100","900","5%","520점","20200925","2855"
"87","사회과학","인류세 시대의 맑스","8936486748","9788936486747","93330","창비","마이크 데이비스 지음, 안민석 옮김","20,000","18,000","2,000","10%","1,000점","20201016","1784"
"88","사회과학","퓨즈만이 희망이다","K092633703","9791160404302","03330","한겨레출판","신영전 지음","16,000","14,400","1,600","10%","800점","20200918","1373"
"89","사회과학","열린책들 편집 매뉴얼 2020","8932920036","9788932920030","03010","열린책들","열린책들 편집부 지음","7,800","7,020","780","10%","390점","20200130","2906"
"90","사회과학","우리는 왜 어른이 되지 못하는가","K982632925","9791190403832","03180","반비","파울 페르하에허 지음, 이승욱 외 옮김","18,000","16,200","1,800","10%","900점","20200831","1202"
"91","사회과학","한 권으로 끝내는 원격교육, 온라인 수업 도구의 모든 것 : 에듀테크 FOR 클래스룸","K612632598","9791186742860","","다빈치books","박찬 외 지음","25,000","22,500","2,500","10%","1,250점","20200826","3948"
"92","사회과학","성서, 퀴어를 옹호하다","K042632957","9791190178358","03300","한티재","박경미 지음","16,000","14,400","1,600","10%","800점","20200914","1763"
"93","사회과학","마르크스를 읽자","K592633495","9791186036570","03300","나름북스","미카엘 뢰비.에마뉘엘 르노.제라르 뒤메닐 지음, 김덕민.배세진.황재민 옮김","20,000","18,000","2,000","10%","1,000점","20200917","1055"
"94","사회과학","미안함에 대하여","K522632823","9791160404197","03300","한겨레출판","홍세화 지음","15,000","13,500","1,500","10%","750점","20200828","2334"
"95","사회과학","페미니즘의 투쟁","8961952498","9788961952491","93300","갈무리","마리아로사 달라 코스따 지음, 이영주.김현지 옮김","29,000","26,100","2,900","10%","1,450점","20200901","1173"
"96","사회과학","마음이 병이 될 때","K222633303","9791197022722","03180","머스트리드북","조지프 데이비스 지음, 장석훈 옮김","19,000","17,100","1,900","10%","950점","20201016","635"
"97","사회과학","헤드쿼터 Vol.1 : 판터","8950988607","9788950988609","04900","레드리버","헤드쿼터 편집부 지음","15,000","13,500","1,500","10%","750점","20200923","483"
"98","사회과학","소환된 미래교육","K942631030","9791163460930","03370","테크빌교육(즐거운학교)","교육정책디자인연구소 외 지음","15,000","13,500","1,500","10%","750점","20200807","3277"
"99","사회과학","줌 & 영상 편집","8931556713","9788931556711","93000","성안당","앤미디어 지음","22,000","19,800","2,200","10%","1,100점","20200605","1794"
"100","사회과학","코로나에 걸려버렸다","8984058653","9788984058651","03810","더난출판사","김지호 지음","14,500","13,050","1,450","10%","720점","20201012","835"
"101","사회과학","다가오는 폭풍과 새로운 미국의 세기","8989566797","9788989566793","03340","김앤김북스","조지 프리드먼 지음, 홍지수 옮김","16,000","14,400","1,600","10%","800점","20200917","2049"
"102","사회과학","일단, 성교육을 합니다","8931021267","9788931021264","03330","문예출판사","인티 차베즈 페레즈 지음, 이세진 옮김, 노하연 감수","14,800","13,320","1,480","10%","740점","20200824","2771"
"103","사회과학","공산당선언","K452533463","9791159312496","04160","책세상","칼 마르크스 & 프리드리히 엥겔스 지음, 이진우 옮김","9,900","8,910","990","10%","490점","20180620","8492"
"104","사회과학","개인주의자 선언","K042837764","9788954637756","03300","문학동네","문유석 지음","13,500","12,150","1,350","10%","670점","20150923","36577"
"105","사회과학","엔트로피","898669882X","9788986698824","03300","세종연구원","제레미 리프킨 지음, 이창희 옮김","18,000","16,200","1,800","10%","900점","20150401","11445"
"106","사회과학","마이너리티 이재명","K202632706","9791190927468","03340","지식의숲(넥서스)","김용민 지음","15,000","13,500","1,500","10%","750점","20200901","1848"
"107","사회과학","부동산 약탈 국가","8959065811","9788959065813","03300","인물과사상사","강준만 지음","16,000","14,400","1,600","10%","800점","20200825","1324"
"108","사회과학","초예측, 부의 미래","8901241811","9788901241814","03320","웅진지식하우스","유발 하라리 외 지음, 신희원 옮김","15,000","13,500","1,500","10%","750점","20200420","3717"
"109","사회과학","우린 일회용이 아니니까","K632636377","9791187135142","03330","슬로비","고금숙 지음","16,000","14,400","1,600","10%","800점","20191007","4171"
"110","사회과학","코로나 시대의 페미니즘","K772631071","9791160804553","03300","휴머니스트","김은실 외 지음, 김은실 엮음","13,000","11,700","1,300","10%","650점","20200713","2479"
"111","사회과학","초예측","8901229617","9788901229614","03300","웅진지식하우스","유발 하라리 외 지음, 오노 가즈모토 엮음, 정현옥 옮김","15,000","13,500","1,500","10%","750점","20190208","10018"
"112","사회과학","오래된 미래","8927806611","9788927806615","03810","중앙books(중앙북스)","헬레나 노르베리-호지 지음, 양희승 옮김","14,000","12,600","1,400","10%","700점","20150701","11998"
"113","사회과학","난치의 상상력","8972979619","9788972979616","03810","동녘","안희제 지음","16,000","14,400","1,600","10%","800점","20200810","1844"
"114","사회과학","교사가 진짜 궁금해하는 온라인 수업","8969150811","9788969150813","03370","(주)학교도서관저널","손지선 외 지음","17,000","15,300","1,700","10%","850점","20200717","3046"
