순번/순위,구분,상품명,ISBN,ISBN13,부가기호,출판사/제작사,저자/아티스트,정가,판매가,할인액,할인율,마일리지,출간일,세일즈포인트
1,국내도서,물고기는 존재하지 않는다,K092835920,9.79119E+12,3400,곰출판,"룰루 밀러 지음, 정지인 옮김","17,000","15,300","1,700",10%,850점,20211217,323360
2,국내도서,불편한 편의점,K582730818,9.79116E+12,3810,나무옆의자,김호연 지음,"14,000","12,600","1,400",10%,700점,20210420,195572
3,국내도서,도쿄 에일리언즈 1,K892836594,9.79114E+12,,서울미디어코믹스(서울문화사),"NAOE 지음, 박소현 옮김","5,000","4,500",500,10%,250점,20220228,74695
4,국내도서,윤석열 X파일,K712836673,9.7912E+12,3340,열린공감TV,열린공감TV 취재팀 지음,"16,000","14,400","1,600",10%,800점,20220204,106820
5,국내도서,세븐 테크,8901255715,9.7889E+12,3320,웅진지식하우스,김미경 외 지음,"18,000","16,200","1,800",10%,900점,20220210,61765
6,국내도서,웰씽킹 WEALTHINKING,K852835990,9.79113E+12,3190,다산북스,켈리 최 지음,"16,000","14,400","1,600",10%,800점,20211110,110825
7,국내도서,"어서 오세요, 휴남동 서점입니다",K362836265,9.7912E+12,3810,클레이하우스,황보름 지음,"15,000","13,500","1,500",10%,750점,20220117,95660
8,국내도서,ETS 토익 정기시험 기출문제집 1000 Vol. 3 Reading (리딩),8917238548,9.78892E+12,13740,(주)YBM(와이비엠),ETS 엮음,"17,800","16,020","1,780",10%,890점,20211213,107768
9,국내도서,도쿄 리벤저스 22,K602836117,9.79113E+12,,학산문화사(만화),와쿠이 켄 지음,"5,000","4,500",500,10%,250점,20220218,37145
10,국내도서,ETS 토익 정기시험 기출문제집 1000 Vol. 3 Listening (리스닝),891723853X,9.78892E+12,13740,(주)YBM(와이비엠),ETS 엮음,"17,800","16,020","1,780",10%,890점,20211213,101345
11,국내도서,도쿄 리벤저스 21,K662836117,9.79113E+12,,학산문화사(만화),와쿠이 켄 지음,"5,000","4,500",500,10%,250점,20220218,35760
12,국내도서,이상한 과자 가게 전천당 13,K332836361,9.79116E+12,74830,길벗스쿨,"히로시마 레이코 지음, 쟈쟈 그림, 김정화 옮김","12,000","10,800","1,200",10%,600점,20220124,61845
13,국내도서,얼굴만으론 좋아할 수 없어요 2,K392836702,9.79114E+12,,서울미디어코믹스(서울문화사),"안자이 카린 지음, 이소연 옮김","5,500","4,950",550,10%,270점,20220228,32845
14,국내도서,해커스 토익 기출 보카 TOEIC VOCA 단어장,8965422787,9.78897E+12,13740,해커스어학연구소(Hackers),데이빗 조 (David Cho) 지음,"12,900","11,610","1,290",10%,640점,20190102,250783
15,국내도서,진짜 쓰는 실무 엑셀,K152836497,9.79119E+12,13000,제이펍,오빠두(전진권) 지음,"21,000","18,900","2,100",10%,"1,050점",20220215,44910
16,국내도서,우리는 여전히 삶을 사랑하는가,8934949678,9.78893E+12,3180,김영사,"에리히 프롬 지음, 라이너 풍크 엮음, 장혜경 옮김","15,800","14,220","1,580",10%,790점,20220211,51120
17,국내도서,"돈, 뜨겁게 사랑하고 차갑게 다루어라",8959893544,9.78896E+12,4320,미래의창,"앙드레 코스톨라니 지음, 한윤진 옮김","12,000","10,800","1,200",10%,600점,20150930,108890
18,국내도서,그 해 우리는 1,8934952318,9.78893E+12,4810,김영사,이나은 지음,"18,500","16,650","1,850",10%,920점,20220216,70785
19,국내도서,그 해 우리는 2,8934952326,9.78893E+12,4810,김영사,이나은 지음,"18,500","16,650","1,850",10%,920점,20220216,70400
20,국내도서,돈의 심리학 (10만 부 기념 골드 에디션),K692836983,9.79119E+12,3320,인플루엔셜(주),"모건 하우절 지음, 이지연 옮김","19,800","17,820","1,980",10%,990점,20210113,124584
21,국내도서,이어령의 마지막 수업,K762835176,9.79117E+12,3100,열림원,"김지수 지음, 이어령","16,500","14,850","1,650",10%,820점,20211027,176404
22,국내도서,호호호,8960907243,9.78896E+12,3810,마음산책,윤가은 지음,"13,500","12,150","1,350",10%,670점,20220205,32585
23,국내도서,만화로 배우는 조선 왕실의 신화,K252836718,9.79116E+12,3900,한빛비즈,"우용곡 지음, 전인혁 감수","19,800","17,820","1,980",10%,990점,20220218,24535
24,국내도서,고양이 해결사 깜냥 4,8936448137,9.78894E+12,74810,창비,"홍민정 지음, 김재희 그림","11,000","9,900","1,100",10%,550점,20220121,62385
25,국내도서,예의 없는 친구들을 대하는 슬기로운 말하기 사전,K682835052,9.79116E+12,73180,사계절,"김원아 지음, 김소희 그림","13,000","11,700","1,300",10%,650점,20220113,58785
26,국내도서,부자 아빠 가난한 아빠 1 (20주년 특별 기념판),K162532501,9.79116E+12,3320,민음인,"로버트 기요사키 지음, 안진환 옮김","15,800","14,220","1,580",10%,790점,20180222,119268
27,국내도서,"2022 큰별쌤 최태성의 별★별한국사 한국사능력검정시험 심화(1, 2, 3급) 상",K682835821,9.79114E+12,13910,이투스북,최태성 지음,"15,000","13,500","1,500",10%,750점,20211209,98275
28,국내도서,12 1/2 부와 성공을 부르는 12가지 원칙,K542836508,9.79119E+12,13320,천그루숲,"게리 바이너척 지음, 우태영 옮김","15,000","13,500","1,500",10%,750점,20220220,42880
29,국내도서,잘 살아라 그게 최고의 복수다,K372836766,9.79119E+12,3190,마인드셋,권민창 지음,"15,000","13,500","1,500",10%,750점,20220121,34305
30,국내도서,뉴욕주민의 진짜 미국식 주식투자,K812835851,9.79116E+12,3320,비즈니스북스,뉴욕주민 지음,"24,000","21,600","2,400",10%,"1,200점",20220111,42305
31,국내도서,2022 큰별쌤 최태성의 별★별한국사 기출 500제 한국사능력검정시험 심화 (1.2.3급),K862835833,9.79114E+12,13910,이투스북,최태성 지음,"19,500","17,550","1,950",10%,970점,20211221,70765
32,국내도서,"2022 큰별쌤 최태성의 별★별한국사 한국사능력검정시험 심화(1, 2, 3급) 하",K762835821,9.79114E+12,13910,이투스북,최태성 지음,"14,500","13,050","1,450",10%,720점,20211209,92905
33,국내도서,주술회전 18,K342836219,9.79114E+12,,서울미디어코믹스(서울문화사),"아쿠타미 게게 지음, 이정운 옮김","5,000","4,500",500,10%,250점,20220228,34965
34,국내도서,지구 끝의 온실,K082733434,9.79119E+12,3810,자이언트북스,김초엽 지음,"15,000","13,500","1,500",10%,750점,20210818,141629
35,국내도서,전념,K352835236,9.7912E+12,3300,상상스퀘어,"피트 데이비스 지음, 신유희 옮김","17,800","16,020","1,780",10%,890점,20220105,46885
36,국내도서,도원암귀 2,K702836884,9.79114E+12,7830,㈜소미미디어,"우루시바라 유라 지음, 천선필 옮김","5,500","4,950",550,10%,270점,20220211,22410
37,국내도서,보도 섀퍼의 돈,8919205019,9.78892E+12,3320,에포케,"보도 섀퍼 지음, 이병서 옮김","14,000","12,600","1,400",10%,700점,20110517,65496
38,국내도서,달러구트 꿈 백화점 2,K962733015,9.79117E+12,3810,팩토리나인,이미예 지음,"13,800","12,420","1,380",10%,690점,20210727,185298
39,국내도서,부의 추월차선 (10주년 스페셜 에디션),K352836574,9.79119E+12,13320,토트,"엠제이 드마코 지음, 신소영 옮김","17,500","15,750","1,750",10%,870점,20220204,32875
40,국내도서,데일 카네기 자기관리론,K432737052,9.79119E+12,3320,현대지성,"데일 카네기 지음, 임상훈 옮김","11,500","10,350","1,150",10%,570점,20210113,82234
41,국내도서,럭키 드로우,K052836785,9.79113E+12,3190,다산북스,드로우앤드류 지음,"16,000","14,400","1,600",10%,800점,20220125,41050
42,국내도서,오은영의 화해,K472836123,9.789E+12,3180,코리아닷컴(Korea.com),오은영 지음,"16,000","14,400","1,600",10%,800점,20190110,99447
43,국내도서,호리미야 16 (올컬러 96p 소책자 포함 한정판),K462836511,9.79113E+12,,학산문화사(만화),"HERO 지음, 하기와라 다이스케 그림","14,000","12,600","1,400",10%,700점,20220223,15155
44,국내도서,센 강의 이름 모를 여인,8984374385,9.78898E+12,3860,밝은세상,"기욤 뮈소 지음, 양영란 옮김","16,000","14,400","1,600",10%,800점,20220119,36565
45,국내도서,연이와 버들 도령,K132835758,9.79116E+12,77810,책읽는곰,백희나 지음,"18,000","16,200","1,800",10%,900점,20220107,70865
