순번/순위,구분,상품명,ISBN,ISBN13,부가기호,출판사/제작사,저자/아티스트,정가,판매가,할인액,할인율,마일리지,출간일,세일즈포인트
1,국내도서,파친코 1,8970129812,9.78897E+12,4840,문학사상사,"이민진 지음, 이미정 옮김","14,500","13,050","1,450",10%,720점,20180323,281420
2,국내도서,파친코 2,8970129820,9.78897E+12,4840,문학사상사,"이민진 지음, 이미정 옮김","14,500","13,050","1,450",10%,720점,20180323,268677
3,국내도서,도쿄 에일리언즈 2 (초판 한정 양면 캐릭터 일러스트 카드 + 선착순 한정 아크릴 일러스트 카드 포함 특장판),K332837281,,,서울미디어코믹스(서울문화사),"NAOE 지음, 박소현 옮김","5,000","4,500",500,10%,250점,20220429,185320
4,국내도서,2022 제13회 젊은작가상 수상작품집,8954685889,9.78895E+12,3810,문학동네,임솔아 외 지음,"7,700","6,930",770,10%,380점,20220408,85210
5,국내도서,가불 선진국,K912837067,9.79116E+12,3330,메디치미디어,조국 지음,"16,000","14,400","1,600",10%,800점,20220325,207750
6,국내도서,불편한 편의점 (40만부 기념 벚꽃 에디션),K192836746,9.79116E+12,3810,나무옆의자,김호연 지음,"14,000","12,600","1,400",10%,700점,20210420,368217
7,국내도서,아무도 흔들 수 없는 나라,8934961538,9.78893E+12,3340,김영사,"문재인 지음, 대통령 비서실 엮음","20,000","18,000","2,000",10%,"1,000점",20220328,103010
8,국내도서,물고기는 존재하지 않는다,K092835920,9.79119E+12,3400,곰출판,"룰루 밀러 지음, 정지인 옮김","17,000","15,300","1,700",10%,850점,20211217,323360
9,국내도서,143층 나무 집,K762837268,9.79117E+12,74840,시공주니어,"앤디 그리피스 지음, 테리 덴톤 그림","12,000","10,800","1,200",10%,600점,20220330,78670
10,국내도서,꽃샘바람에 흔들린다면 너는 꽃,K712837984,9.79119E+12,3810,수오서재,류시화 지음,"13,500","12,150","1,350",10%,670점,20220411,55890
11,국내도서,지리의 힘 2,8993178984,9.78899E+12,3300,사이,"팀 마샬 지음, 김미선 옮김","23,000","20,700","2,300",10%,"1,150점",20220410,40050
12,국내도서,운명을 바꾸는 부동산 투자 수업 : 기초편,8901259303,9.7889E+12,4320,리더스북,부동산읽어주는남자(정태익) 지음,"16,800","15,120","1,680",10%,840점,20220331,59670
13,국내도서,여름이 온다,8949114119,9.78895E+12,74800,비룡소,이수지 지음,"27,000","24,300","2,700",10%,"1,350점",20210727,108429
14,국내도서,원피스 101,K532837172,9.79117E+12,,대원씨아이(만화),오다 에이치로 지음,"5,500","4,950",550,10%,270점,20220325,93730
15,국내도서,도원암귀 4,K052837577,9.79114E+12,7830,㈜소미미디어,"우루시바라 유라 지음, 천선필 옮김","5,500","4,950",550,10%,270점,20220406,29130
16,국내도서,청춘 블라썸 시즌1 : 1~3 한정판 박스 세트 - 전3권 (굿즈 8종 + 전용수납케이스 포함),K992837088,9.79113E+12,,재담,"홍덕 지음, NEMONE 그림","75,000","67,500","7,500",10%,"3,750점",20220420,21700
17,국내도서,운명을 바꾸는 부동산 투자 수업 : 실전편,8901259311,9.7889E+12,4320,리더스북,부동산읽어주는남자(정태익) 지음,"16,800","15,120","1,680",10%,840점,20220331,50390
18,국내도서,이어령의 마지막 수업,K762835176,9.79117E+12,3100,열림원,"김지수 지음, 이어령","16,500","14,850","1,650",10%,820점,20211027,176404
19,국내도서,웰씽킹 WEALTHINKING (10만 부 기념 한정판 골드 에디션),K982836731,9.79113E+12,3190,다산북스,켈리 최 지음,"16,000","14,400","1,600",10%,800점,20211110,188740
20,국내도서,그림들,K052837263,9.79119E+12,3810,나무의마음,SUN 도슨트 지음,"19,800","17,820","1,980",10%,990점,20220325,38260
21,국내도서,다산의 마지막 질문,893521373X,9.78894E+12,3100,청림출판,조윤제 지음,"17,000","15,300","1,700",10%,850점,20220325,29110
22,국내도서,마음의 법칙,K022836695,9.79119E+12,3320,포레스트북스,"폴커 키츠.마누엘 투쉬 지음, 김희상 옮김","16,000","14,400","1,600",10%,800점,20220210,65230
23,국내도서,오래되고 멋진 클래식 레코드,8954685676,9.78895E+12,3830,문학동네,"무라카미 하루키 지음, 홍은주 옮김","25,000","22,500","2,500",10%,"1,250점",20220325,62240
24,국내도서,거의 모든 행동 표현의 영어,8960499374,9.78896E+12,14740,사람in,서영조 지음,"16,000","14,400","1,600",10%,800점,20220310,31940
25,국내도서,롤랑의 노래,K262837373,9.79116E+12,3860,휴머니스트,김준한 옮김,"22,000","19,800","2,200",10%,"1,100점",20220411,35185
26,국내도서,보도 섀퍼의 이기는 습관,K402836832,9.79116E+12,3190,토네이도,"보도 섀퍼 지음, 박성원 옮김","17,000","15,300","1,700",10%,850점,20220318,50780
27,국내도서,"어서 오세요, 휴남동 서점입니다",K362836265,9.7912E+12,3810,클레이하우스,황보름 지음,"15,000","13,500","1,500",10%,750점,20220117,95660
28,국내도서,김학렬의 부동산 투자 절대 원칙,K142837679,9.79119E+12,3320,에프엔미디어,김학렬(빠숑) 지음,"25,000","22,500","2,500",10%,"1,250점",20220412,39810
29,국내도서,나의 아저씨 1~2 세트 - 전2권,8933871756,9.78893E+12,4810,세계사,박해영 지음,"49,600","44,640","4,960",10%,"2,480점",20220315,86855
30,국내도서,흔한남매 불꽃 튀는 우리말 5,K962837473,9.79113E+12,77700,다산어린이,"한은호 지음, 유희석 그림, 흔한컴퍼니 감수, 흔한남매 원작","13,000","11,700","1,300",10%,650점,20220329,24650
31,국내도서,10배의 법칙,8960519146,9.78896E+12,3190,부키,"그랜트 카돈 지음, 최은아 옮김","16,800","15,120","1,680",10%,840점,20220330,17950
32,국내도서,열혈강호 85,K592837470,9.79117E+12,,대원씨아이(만화),"전극진 글, 양재현 그림","5,500","4,950",550,10%,270점,20220329,45240
33,국내도서,놓아주는 엄마 주도하는 아이,K092836604,9.79117E+12,13590,쌤앤파커스,"윌리엄 스틱스러드.네드 존슨 지음, 이영래 옮김","17,500","15,750","1,750",10%,870점,20220302,29290
34,국내도서,거의 모든 것의 역사,8972917117,9.78897E+12,3400,까치,"빌 브라이슨 지음, 이덕환 옮김","25,000","22,500","2,500",10%,"1,250점",20200410,32282
35,국내도서,나는 3학년 2반 7번 애벌레,8936414089,9.78894E+12,73810,창비,"김원아 지음, 이주희 그림","9,000","8,100",900,10%,450점,20160325,60991
36,국내도서,세력주 매매 공식,8969525017,9.78897E+12,3320,경향BP,와조스키 지음,"15,000","13,500","1,500",10%,750점,20220405,16750
37,국내도서,SQL 자격검정 실전문제,8988474848,9.78899E+12,13000,한국데이터산업진흥원,한국데이터진흥원 지음,"18,000","17,460",540,3%,0점,20200511,50208
