순번/순위,구분,상품명,ISBN,ISBN13,부가기호,출판사/제작사,저자/아티스트,정가,판매가,할인액,할인율,마일리지,출간일,세일즈포인트
"1","사회과학","공정하다는 착각","K092633826","9791164136452","03300","와이즈베리","마이클 샌델 지음, 함규진 옮김","18,000","16,200","1,800","10%","900점","20201201","160896"
"2","사회과학","노마드랜드","K662730586","9791191247053","","엘리","제시카 브루더 지음, 서제인 옮김","17,500","15,750","1,750","10%","870점","20210326","15738"
"3","사회과학","수학 잘하는 아이는 이렇게 공부합니다","K912738686","9791196848194","03370","블루무스","류승재 지음","16,800","15,120","1,680","10%","840점","20210312","46584"
"4","사회과학","어떻게 민주주의는 무너지는가","K782534278","9791160560589","03340","어크로스","스티븐 레비츠키.대니얼 지블랫 지음, 박세연 옮김","16,800","15,120","1,680","10%","840점","20181002","11090"
"5","사회과학","똑똑하게 생존하기","K862730393","9791135496851","03190","안드로메디안","칼 벅스트롬.제빈 웨스트 지음, 박선령 옮김","19,800","17,820","1,980","10%","990점","20210331","25231"
"6","사회과학","메타버스","K432736724","9791189580575","03320","플랜비디자인","김상균 지음","17,000","15,300","1,700","10%","850점","20201218","44030"
"7","사회과학","빌 게이츠, 기후재앙을 피하는 법","8934991364","9788934991366","03300","김영사","빌 게이츠 지음, 김민주.이엽 옮김","17,800","16,020","1,780","10%","890점","20210216","24473"
"8","사회과학","살림 비용","K522730391","9791190292092","03800","플레이타임","데버라 리비 지음, 이예원 옮김, 백수린 후기","14,000","12,600","1,400","10%","700점","20210325","6145"
"9","사회과학","정의란 무엇인가","K262836826","9788937834790","03300","와이즈베리","마이클 샌델 지음, 김명철 옮김, 김선욱 감수","15,000","13,500","1,500","10%","750점","20141120","58733"
"10","사회과학","불량 판결문","8968333041","9788968333040","03300","블랙피쉬","최정규 지음","16,000","14,400","1,600","10%","800점","20210412","5955"
"11","사회과학","비극의 탄생","K572739237","9791186615539","03300","왕의서재","손병관 지음","17,500","15,750","1,750","10%","870점","20210319","10995"
"12","사회과학","선량한 차별주의자","8936477196","9788936477196","03300","창비","김지혜 지음","15,000","13,500","1,500","10%","750점","20190717","61006"
"13","사회과학","프로보커터","K152730499","9791190893541","03300","서해문집","김내훈 지음","15,000","13,500","1,500","10%","750점","20210409","4308"
"14","사회과학","사이보그가 되다","K892737124","9791160947045","03300","사계절","김초엽.김원영 지음","17,800","16,020","1,780","10%","890점","20210115","28806"
"15","사회과학","고통 없는 사회","8934988355","9788934988359","03100","김영사","한병철 지음, 이재영 옮김","12,800","11,520","1,280","10%","640점","20210415","6282"
"16","사회과학","윤석열의 진심","K412730609","9791197435409","","체리M&B","이경욱 지음","13,000","11,700","1,300","10%","650점","20210413","1196"
"17","사회과학","공부머리 독서법","K722532337","9791196316808","03370","책구루","최승필 지음","16,500","14,850","1,650","10%","820점","20180503","58439"
"18","사회과학","삶의 무기가 되는 자본론","8901249502","9788901249506","03320","웅진지식하우스","시라이 사토시 지음, 오시연 옮김","16,000","14,400","1,600","10%","800점","20210324","1883"
"19","사회과학","초3 수학의 힘","8968333009","9788968333002","13590","물주는아이","이정 지음","15,800","14,220","1,580","10%","790점","20210325","1555"
"20","사회과학","열린책들 편집 매뉴얼 2021","8932920818","9788932920818","03010","열린책들","열린책들 편집부 지음","7,800","7,020","780","10%","390점","20210220","7760"
"21","사회과학","미래가 불타고 있다","8932920699","9788932920696","03300","열린책들","나오미 클라인 지음, 이순희 옮김","22,000","19,800","2,200","10%","1,100점","20210325","3326"
"22","사회과학","살아남은 아이","1185298215","9791185298214","03330","이리","한종선.전규찬.박래군 지음","14,500","13,050","1,450","10%","720점","20140808","2634"
"23","사회과학","두 번째 지구는 없다","8925556251","9788925556253","03300","알에이치코리아(RHK)","타일러 라쉬 지음, 이영란 감수","14,000","12,600","1,400","10%","700점","20200715","31053"
"24","사회과학","구수한 윤석열","8997559095","9788997559091","","리딩라이프북스","김연우 지음","13,000","11,700","1,300","10%","650점","20210413","1042"
"25","사회과학","지리의 힘","8993178690","9788993178692","03300","사이","팀 마샬 지음, 김미선 옮김","17,000","15,300","1,700","10%","850점","20160810","58274"
"26","사회과학","문화란 무엇인가","8931021577","9788931021578","","문예출판사","테리 이글턴 지음, 이강선 옮김","15,000","13,500","1,500","10%","750점","20210308","4657"
"27","사회과학","슬기로운 교사생활 (별책 부록 포함)","8969524533","9788969524539","03370","경향BP","지혜쌤 카페 지음","18,000","16,200","1,800","10%","900점","20210324","5398"
"28","사회과학","게으른 정의","K472730482","9791160404692","03300","한겨레출판","표창원 지음","16,000","14,400","1,600","10%","800점","20210330","1543"
"29","사회과학","나는 풍요로웠고, 지구는 달라졌다","8934990309","9788934990307","03450","김영사","호프 자런 지음, 김은령 옮김","15,500","13,950","1,550","10%","770점","20200907","26753"
"30","사회과학","여자들이 글 못 쓰게 만드는 방법","K542730981","9791155251416","03800","낮은산","조애나 러스 지음, 박이은실 옮김","17,000","15,300","1,700","10%","850점","20210319","2131"
"31","사회과학","몸","8976826477","9788976826473","93160","그린비","샹탈 자케 지음, 정지은.김종갑 옮김","29,800","28,310","1,490","5%","890점","20210330","2116"
"32","사회과학","문정인의 미래 시나리오","8935213454","9788935213450","03340","청림출판","문정인 지음","17,000","15,300","1,700","10%","850점","20210324","4423"
"33","사회과학","영원한 동맹이라는 역설","8936486764","9788936486761","93300","창비","김준형 지음","24,000","21,600","2,400","10%","1,200점","20210329","1966"
"34","사회과학","왜 세계의 절반은 굶주리는가?","K042434338","9791187038030","03300","갈라파고스","장 지글러 지음, 유영미 옮김, 우석훈 해제, 주경복 부록","10,800","9,720","1,080","10%","540점","20160321","41345"
"35","사회과학","운동은 이렇게","8964373685","9788964373682","03300","후마니타스","마이클 왈저 지음, 박수형 옮김","13,000","11,700","1,300","10%","650점","20210405","1797"
"36","사회과학","자유론","K612532131","9791159312236","04160","책세상","존 스튜어트 밀 지음, 서병훈 옮김","8,900","8,010","890","10%","440점","20180330","26083"
"37","사회과학","그냥, 사람","K292633501","9791186372791","03810","봄날의책","홍은전 지음","13,000","11,700","1,300","10%","650점","20200925","16579"
"38","사회과학","페미니스트 라이프스타일","K082738626","9791191187847","03330","반비","김현미 지음, 줌마네 기획","17,500","15,750","1,750","10%","870점","20210222","3266"
"39","사회과학","리멤버 홍콩","K692730611","9791160947243","03910","사계절","전명윤 지음","16,800","15,120","1,680","10%","840점","20210423","3009"
"40","사회과학","알고 싶지 않은 것들","K582534286","9791196166069","03800","플레이타임","데버라 리비 지음, 이예원 옮김, 박민정 후기","12,000","10,800","1,200","10%","600점","20181010","3593"
"41","사회과학","퀴어 이론 산책하기","899172941X","9788991729414","93330","여성문화이론연구소(여이연)","전혜은 지음","27,000","25,650","1,350","5%","770점","20210118","6047"
"42","사회과학","호모 데우스","8934977841","9788934977841","03900","김영사","유발 하라리 지음, 김명주 옮김","22,000","19,800","2,200","10%","1,100점","20170515","39930"
"43","사회과학","쓴맛이 사는 맛","8993642931","9788993642933","03810","비아북","채현국.정운현 지음","13,000","11,700","1,300","10%","650점","20150227","1778"
"44","사회과학","월든","8956605416","9788956605418","03840","은행나무","헨리 데이비드 소로우 지음, 강승영 옮김","13,000","11,700","1,300","10%","650점","20110822","45679"
"45","사회과학","어둠과 위선의 기록","K732730508","9791196799441","","거짓과진실","우종창 지음","20,000","18,000","2,000","10%","1,000점","20210401","1717"
"46","사회과학","우리의 불행은 당연하지 않습니다","8965749891","9788965749899","03330","해냄","김누리 지음","16,500","14,850","1,650","10%","820점","20200306","33407"
"47","사회과학","애도와 투쟁","8965642647","9788965642640","03300","현실문화","더글러스 크림프 지음, 김수연 옮김","25,000","22,500","2,500","10%","1,250점","20210412","1732"
"48","사회과학","음식천국 노회찬","8956451842","9788956451848","03810","일빛","이인우 지음","17,000","15,300","1,700","10%","850점","20210316","2010"
"49","사회과학","랭스로 되돌아가다","8932037736","9788932037738","03330","문학과지성사","디디에 에리봉 지음, 이상길 옮김","18,000","16,200","1,800","10%","900점","20210111","10697"
"50","사회과학","쌀 재난 국가","8932038007","9788932038001","03330","문학과지성사","이철승 지음","17,000","15,300","1,700","10%","850점","20210125","7123"
"51","사회과학","베들레헴을 향해 웅크리다","K062730392","9791191438000","03300","돌베개","조앤 디디온 지음, 김선형 옮김","17,000","15,300","1,700","10%","850점","20210408","2242"
"52","사회과학","지리 대전","8967358938","9788967358938","03900","글항아리","로버트 D. 캐플런 지음, 김용민.최난경 옮김","17,000","15,300","1,700","10%","850점","20210412","1600"
"53","사회과학","그들은 왜 나보다 덜 내는가","8960518581","9788960518582","03300","부키","이매뉴얼 사에즈.게이브리얼 저크먼 지음, 노정태 옮김","19,800","17,820","1,980","10%","990점","20210409","897"
"54","사회과학","트릭 미러","K882738583","9791190955089","03300","생각의힘","지아 톨렌티노 지음, 노지양 옮김","18,000","16,200","1,800","10%","900점","20210215","6351"
"55","사회과학","연중무휴의 사랑","K742738838","9791197320439","03810","사이드웨이","임지은 지음","15,000","13,500","1,500","10%","750점","20210226","3408"
"56","사회과학","평화는 처음이라","K102730493","9791191383027","03300","빨간소금","이용석 지음","12,000","10,800","1,200","10%","600점","20210402","2505"
"57","사회과학","중국 애국주의 홍위병, 분노청년","K102730381","9791156121916","93340","푸른역사","김인희 지음","17,900","16,110","1,790","10%","890점","20210329","1504"
"58","사회과학","사람, 장소, 환대","8932027269","9788932027265","93330","문학과지성사","김현경 지음","16,000","14,400","1,600","10%","800점","20150331","24389"
"59","사회과학","소년을 읽다","K402738381","9791160947083","03810","사계절","서현숙 지음","13,000","11,700","1,300","10%","650점","20210125","8294"
