순번/순위,구분,상품명,ISBN,ISBN13,부가기호,출판사/제작사,저자/아티스트,정가,판매가,할인액,할인율,마일리지,출간일,세일즈포인트
"1","사회과학","조국의 시간","8935668664","9788935668663","03340","한길사","조국 지음","17,000","15,300","1,700","10%","850점","20210531","177672"
"2","사회과학","공정하다는 착각","K092633826","9791164136452","03300","와이즈베리","마이클 샌델 지음, 함규진 옮김","18,000","16,200","1,800","10%","900점","20201201","160896"
"3","사회과학","월든 (50만 부 출간 기념 특별 한정판)","K712731482","9791191071481","03840","은행나무","헨리 데이비드 소로우 지음, 강승영 옮김","13,000","11,700","1,300","10%","650점","20210503","59874"
"4","사회과학","수학 잘하는 아이는 이렇게 공부합니다","K912738686","9791196848194","03370","블루무스","류승재 지음","16,800","15,120","1,680","10%","840점","20210312","46584"
"5","사회과학","욕구들","K072731249","9791164051069","03840","북하우스","캐럴라인 냅 지음, 정지인 옮김","18,000","16,200","1,800","10%","900점","20210517","17648"
"6","사회과학","올바름이라는 착각","K802732228","9791191043266","03300","데이포미","유튜브 읽어주는 남자 지음","16,500","14,850","1,650","10%","820점","20210610","7665"
"7","사회과학","K를 생각한다","K212731586","9791197320446","03330","사이드웨이","임명묵 지음","17,000","15,300","1,700","10%","850점","20210507","9447"
"8","사회과학","이낙연의 약속","8950995506","9788950995508","03340","21세기북스","이낙연 지음, 문형렬 엮음","19,000","17,100","1,900","10%","950점","20210524","10386"
"9","사회과학","추미애의 깃발","8935668680","9788935668687","03340","한길사","추미애.김민웅 지음","17,000","15,300","1,700","10%","850점","20210701","11634"
"10","사회과학","피케티의 사회주의 시급하다","K562732590","9791167370273","03300","은행나무","토마 피케티 지음, 이민주 옮김","20,000","18,000","2,000","10%","1,000점","20210610","4135"
"11","사회과학","지구를 위한다는 착각","8960518611","9788960518612","03330","부키","마이클 셸런버거 지음, 노정태 옮김","22,000","19,800","2,200","10%","1,100점","20210427","23911"
"12","사회과학","뉴 맵","890124960X","9788901249605","03320","리더스북","대니얼 예긴 지음, 우진하 옮김","29,000","26,100","2,900","10%","1,450점","20210517","13240"
"13","사회과학","인간교육을 위한 새로운 흐름","K512732352","9791164842872","03190","매일경제신문사","이케다 다이사쿠.짐 개리슨.래리 히크먼 지음","15,000","13,500","1,500","10%","750점","20210703","17050"
"14","사회과학","이만하면 괜찮은 남자는 없다","K322731142","9791160404777","03300","한겨레출판","박정훈 지음","15,000","13,500","1,500","10%","750점","20210510","7239"
"15","사회과학","돌봄 선언","K512731044","9791189722395","03300","니케북스","더 케어 컬렉티브 지음, 정소영 옮김","13,800","12,420","1,380","10%","690점","20210525","8897"
"16","사회과학","메타버스","K432736724","9791189580575","03320","플랜비디자인","김상균 지음","17,000","15,300","1,700","10%","850점","20201218","44030"
"17","사회과학","저는 삼풍 생존자입니다","K522732024","9791156758822","03300","푸른숲","산만언니 지음","16,000","14,400","1,600","10%","800점","20210611","3794"
"18","사회과학","단독자 김종인의 명암","8959066079","9788959066070","03300","인물과사상사","강준만 지음","16,000","14,400","1,600","10%","800점","20210614","2175"
"19","사회과학","흰머리 휘날리며, 예순 이후 페미니즘","K622732022","9791187064664","03330","교양인","김영옥 지음","17,000","15,300","1,700","10%","850점","20210604","4146"
