순번/순위,구분,상품명,ISBN,ISBN13,부가기호,출판사/제작사,저자/아티스트,정가,판매가,할인액,할인율,마일리지,출간일,세일즈포인트
"1","사회과학","돈으로 살 수 없는 것들","8937833662","9788937833663","03330","와이즈베리","마이클 샌델 지음, 안기순 옮김, 김선욱 감수","16,000","14,400","1,600","10%","800점","20120424","29138"
"2","사회과학","주기자 : 주진우의 정통시사활극","8971848782","9788971848784","03340","푸른숲","주진우 지음","13,500","12,150","1,350","10%","670점","20120330","9750"
"3","사회과학","3차 산업혁명","8937484668","9788937484667","03320","민음사","제러미 리프킨 지음, 안진환 옮김","20,000","18,000","2,000","10%","1,000점","20120504","3824"
"4","사회과학","욕망해도 괜찮아","8936472151","9788936472153","03810","창비","김두식 지음","15,000","13,500","1,500","10%","150점","20120518","4305"
"5","사회과학","노무현입니다","8955616384","9788955616385","03800","바다출판사","정철 글, 장철영 사진","15,000","13,500","1,500","10%","750점","20120501","1767"
"6","사회과학","피로사회","8932022887","9788932022888","03100","문학과지성사","한병철 지음, 김태환 옮김","12,000","10,800","1,200","10%","600점","20120305","22496"
"7","사회과학","누가 거짓말을 하고 있는가?","8965700728","9788965700722","03300","쌤앤파커스","김종배 지음","14,000","12,600","1,400","10%","700점","20120502","947"
"8","사회과학","왜 도덕인가?","8947527750","9788947527750","03330","한국경제신문","마이클 샌델 지음, 안진환.이수경 옮김","16,000","14,400","1,600","10%","800점","20101027","7375"
"9","사회과학","운명이다 (양장)","8971993863","9788971993866","03810","돌베개","노무현 지음, 유시민 정리, 사람사는세상 노무현재단 엮음","22,000","19,800","2,200","10%","1,100점","20100426","4229"
"10","사회과학","새로운 100년","8996430595","9788996430599","03300","오마이북","법륜.오연호 지음","15,000","13,500","1,500","10%","750점","20120507","4141"
"11","사회과학","왜 세계의 절반은 굶주리는가?","8990809177","9788990809179","03300","갈라파고스","장 지글러 지음, 유영미 옮김, 우석훈 해제, 주경복 부록","9,800","8,820","980","10%","490점","20070312","40144"
"12","사회과학","신 없는 사회","8960901326","9788960901322","03300","마음산책","필 주커먼 지음, 김승욱 옮김","16,000","14,400","1,600","10%","800점","20120415","977"
"13","사회과학","삼성 백혈병의 진실 세트 - 전2권","8984287539","9788984287532","07300","보리","김수박.김성희 지음","24,000","21,600","2,400","10%","1,200점","20120421","611"
"14","사회과학","국가론","8988601866","9788988601860","03340","돋을새김","플라톤 지음, 이환 옮김","8,500","7,650","850","10%","420점","20061212","6162"
"15","사회과학","불편해도 괜찮아","8936471899","9788936471897","03300","창비","김두식 지음","18,000","16,200","1,800","10%","900점","20100709","12515"
"16","사회과학","닥치고 정치","8971848685","9788971848685","03340","푸른숲","김어준 지음, 지승호 엮음","13,500","12,150","1,350","10%","670점","20111005","27894"
"17","사회과학","나는 무슨 일 하며 살아야 할까?","899346314X","9788993463149","43300","철수와영희","이철수 외 지음","12,000","10,800","1,200","10%","600점","20110516","6421"
"18","사회과학","노무현 평전","8993854432","9788993854435","03990","책으로보는세상(책보세)","김삼웅 지음","23,000","20,700","2,300","10%","1,150점","20120514","838"
"19","사회과학","좌파하라","8994682066","9788994682068","03300","꾸리에","박노자.지승호 지음","14,000","12,600","1,400","10%","700점","20120412","544"
"20","사회과학","멘토의 시대","8959062154","9788959062157","03300","인물과사상사","강준만 지음","14,000","12,600","1,400","10%","700점","20120522","369"
"21","사회과학","오래된 미래","8961880845","9788961880848","03810","중앙books(중앙북스)","헬레나 노르베리-호지 지음, 양희승 옮김","12,000","10,800","1,200","10%","600점","20071115","10601"
"22","사회과학","육식의 종말","8952717570","9788952717573","03840","시공사","제레미 리프킨 지음, 신현승 옮김","13,000","11,700","1,300","10%","650점","20020118","11596"
"23","사회과학","진실유포죄","8963708772","9788963708775","03300","다산초당(다산북스)","박경신 지음","15,000","13,500","1,500","10%","750점","20120507","649"
"24","사회과학","시민 K, 교회를 나가다","8932316171","9788932316178","03300","현암사","김진호 지음","13,800","12,420","1,380","10%","690점","20120331","665"
"25","사회과학","노무현, 마지막 인터뷰","8995172843","9788995172841","03300","오마이뉴스","오연호 지음","13,000","11,700","1,300","10%","650점","20090703","4553"
"26","사회과학","프로파간다","8995894571","9788995894576","03300","공존","에드워드 버네이스 지음, 강미경 옮김","15,000","13,500","1,500","10%","750점","20090720","11381"
"27","사회과학","워크 Work","8992053576","9788992053570","03320","마티","CrimethInc 지음, 박준호 옮김","15,800","14,220","1,580","10%","790점","20120511","210"
"28","사회과학","여성 혐오를 혐오한다","8956606218","9788956606217","03330","은행나무","우에노 지즈코 지음, 나일등 옮김","14,000","12,600","1,400","10%","700점","20120502","9101"
"29","사회과학","어쩌다 사회학자가 되어","8970138102","9788970138107","03300","책세상","피터 L. 버거 지음, 노상미 옮김","17,800","16,020","1,780","10%","890점","20120510","486"
"30","사회과학","마르크스가 내게 아프냐고 물었다","896086529X","9788960865297","03100","위즈덤하우스","류동민 지음","13,800","12,420","1,380","10%","690점","20120412","857"
"31","사회과학","사다리 걷어차기","8985989693","9788985989695","03320","부키","장하준 지음, 형성백 옮김","12,000","10,800","1,200","10%","600점","20040510","10930"
"32","사회과학","헤게모니와 사회주의 전략","8964371569","9788964371565","93300","후마니타스","에르네스토 라클라우 & 샹탈 무페 지음, 이승원 옮김","18,000","16,200","1,800","10%","900점","20120507","1298"
"33","사회과학","정치의 몰락","8937484374","9788937484377","03340","민음사","박성민 지음, 강양구 인터뷰","14,000","12,600","1,400","10%","700점","20120205","529"
"34","사회과학","고릴라는 핸드폰을 미워해","8993746060","9788993746068","03800","북센스","박경화 지음","12,000","10,800","1,200","10%","600점","20110715","18717"
"35","사회과학","긍정의 배신","8960511625","9788960511620","03330","부키","바버라 에런라이크 지음, 전미영 옮김","13,800","12,420","1,380","10%","690점","20110401","5771"
"36","사회과학","칼 마르크스 - 그의 생애와 시대","896637025X","9788966370252","13840","미다스북스","이사야 벌린 지음, 안규남 옮김","13,800","12,420","1,380","10%","690점","20120323","4838"
"37","사회과학","기업은 누구의 것인가","8994682058","9788994682051","03300","꾸리에","김상봉 지음","15,000","13,500","1,500","10%","750점","20120319","1694"
"38","사회과학","스페인 내전","8991799426","9788991799424","93920","교양인","앤터니 비버 지음, 김원중 옮김","36,000","32,400","3,600","10%","1,800점","20090501","3005"
"39","사회과학","인문학으로 광고하다","899252563X","9788992525633","03100","알마","박웅현, 강창래 지음","17,500","15,750","1,750","10%","870점","20090827","7408"
"40","사회과학","불안증폭사회","8960864129","9788960864122","03300","위즈덤하우스","김태형 지음","13,000","11,700","1,300","10%","650점","20101116","931"
"41","사회과학","르몽드 세계사 2","8958623470","9788958623472","03900","휴머니스트","이주영.최서연 옮김, 르몽드 디플로마티크 기획","25,000","22,500","2,500","10%","1,250점","20100719","2212"
"42","사회과학","군주론","8972914444","9788972914440","03340","까치","니콜로 마키아벨리 지음, 강정인.김경희 옮김","8,000","7,200","800","10%","400점","20080520","5900"
"43","사회과학","대화","8935655546","9788935655540","03800","한길사","리영희, 임헌영 대담","22,000","19,800","2,200","10%","1,100점","20050310","7859"
"44","사회과학","지금 일어나 어디로 향할 것인가","8971848790","9788971848791","03340","푸른숲","스테판 에셀 & 에드가 모랭 지음, 장소미 옮김","7,000","6,300","700","10%","350점","20120430","207"
"45","사회과학","사람 냄새 : 삼성에 없는 단 한 가지","8984287490","9788984287495","07300","보리","김수박 지음","12,000","10,800","1,200","10%","600점","20120421","589"
"46","사회과학","헌법의 풍경","8991799671","9788991799677","03360","교양인","김두식 지음","14,000","12,600","1,400","10%","700점","20111220","7473"
"47","사회과학","월든","8979441940","9788979441949","03840","책만드는집","헨리 데이빗 소로우 지음, 김성 옮김","9,800","8,820","980","10%","490점","20040504","2030"
"48","사회과학","남성 퇴화 보고서","8950936674","9788950936679","03900","21세기북스","피터 매캘리스터 지음, 이은정 옮김","15,000","13,500","1,500","10%","750점","20120427","110"
"49","사회과학","깨어나라! 협동조합","8975278794","9788975278792","13330","들녘","김기섭 지음","13,000","11,700","1,300","10%","650점","20120402","961"
"50","사회과학","꿀벌의 민주주의","8962630672","9788962630671","03490","에코리브르","토머스 D. 실리 지음, 하임수 옮김","20,000","18,000","2,000","10%","1,000점","20120430","333"
